route_id,Observed,BEAM,,
1,2492,3495.99328,0.402886533,1003.99328
2,910,1093.37021,0.201505703,183.37021
3,2343,6628.055085,1.828875332,4285.055085
4,1726,1653.374456,-0.04207737,-72.625544
5,414,1801.123131,3.350538154,1387.123131
6,1042,845.2965078,-0.188774926,-196.7034922
7,4487,6093.113336,0.357948139,1606.113336
10,4974,7854.166486,0.579044316,2880.166486
17,1112,1226.186439,0.102685637,114.186439
18,670,2249.696813,2.357756085,1579.696813
19,748,2452.072728,2.278171792,1704.072728
20,4977,5800.767557,0.165514877,823.767557
30,670,1562.053919,1.331423561,892.053919
550,1665,149.9997975,-0.909909977,-1515.000203
50,141,302.0256053,1.14202476,161.0256053
51,36,58.60422304,0.62789334,22.60422304
52,11,0,-0.999990909,-11
103,123,142.1959061,0.15606415,19.1959061
105,150,267.4333559,0.782888517,117.4333559
111,139,86.3680675,-0.378646724,-52.6319325
640,0,79.31455026,793145.5026,79.31455026
641,0,31.14052825,311405.2825,31.14052825
642,0,311.855507,3118555.07,311.855507
135,0,15.75785767,157578.5767,15.75785767
142,120,194.9472106,0.624559568,74.9472106
656,0,266.6079443,2666079.443,266.6079443
661,0,115.6326603,1156326.603,115.6326603
150,0,30.99045341,309904.5341,30.99045341
663,0,431.2400382,4312400.382,431.2400382
152,0,7.653816582,76538.16582,7.653816582
670,0,41.27057961,412705.7961,41.27057961
671,0,26.86339545,268633.9545,26.86339545
672,0,36.31811005,363181.1005,36.31811005
680,0,16.13304476,161330.4476,16.13304476
171,144,47.87387234,-0.66754209,-96.12612766
201,281,50.42514454,-0.820550795,-230.5748555
720,109,0,-0.999999083,-109
725,11,0,-0.999990909,-11
214,0,26.11302128,261130.2128,26.11302128
217,326,58.67926046,-0.820002017,-267.3207395
730,27,0,-0.999996296,-27
228,170,224.136766,0.318451377,54.136766
233,69,33.69180044,-0.511712295,-35.30819956
237,0,91.69572414,916957.2414,91.69572414
243,790,263.3813353,-0.66660582,-526.6186647
761,63,0,-0.999998413,-63
771,10,0,-0.99999,-10
772,26,0,-0.999996154,-26
774,4,0,-0.999975001,-4
775,31,0,-0.999996774,-31
776,67,0,-0.999998507,-67
271,783,56.42813794,-0.927933294,-726.5718621
801,7735,4224.906753,-0.453793562,-3510.093247
803,4513,3589.564939,-0.204616672,-923.435061
300,5742,4104.99696,-0.285092827,-1637.00304
310,965,350.8749641,-0.636398935,-614.1250359
311,1982,1635.740663,-0.174701978,-346.259337
315,0,515.2069083,5152069.083,515.2069083
318,802,1474.710365,0.838790874,672.710365
322,461,738.9684872,0.602968388,277.9684872
323,502,324.7619428,-0.353063789,-177.2380572
324,1112,1321.483959,0.188384838,209.483959
325,2583,3058.825286,0.184214196,475.825286
333,2177,2461.827592,0.130834901,284.827592
335,625,1413.704945,1.26192771,788.704945
337,1450,2406.374941,0.659568879,956.374941
339,0,465.3070257,4653070.257,465.3070257
345,169,439.1940044,1.598780145,270.1940044
350,1160,1332.589497,0.148784036,172.589497
383,1536,2673.13296,0.740320889,1137.13296
392,0,609.0787176,6090787.176,609.0787176
935,134,48.62424652,-0.637132013,-85.37575348
465,62,19.35965371,-0.687746412,-42.64034629
466,82,62.95639325,-0.232238823,-19.04360675
980,283,126.7381981,-0.552161649,-156.2618019
981,193,44.79733823,-0.767889041,-148.2026618
982,398,522.4855378,0.312777655,124.4855378
985,733,151.2754336,-0.793621401,-581.7245664
987,171,54.10197799,-0.683613764,-116.898022
990,0,24.98746002,249874.6002,24.98746002
490,21,0.375187087,-0.982129271,-20.62481291
494,7,0,-0.999985714,-7
495,24,0,-0.999995833,-24
496,7,0,-0.999985714,-7
498,19,0,-0.999994737,-19
499,43,0,-0.999997674,-43